State,District,Domestic,Foreigner,Total
Himachal Pradesh,Bilaspur,"2,53,510",0,"2,53,510"
Himachal Pradesh,Chamba,"2,21,819",69,"2,21,888"
Himachal Pradesh,Hamirpur,"60,123",1,"60,124"
Himachal Pradesh,Kangra,"2,34,251","2,701","2,36,952"
Himachal Pradesh,Kinnaur,"59,961",109,"60,070"
Himachal Pradesh,Kullu,"16,47,329",252,"16,47,581"
Himachal Pradesh,Lahaul-spiti,"9,60,532",420,"9,60,952"
Himachal Pradesh,Mandi,"3,97,829",149,"3,97,978"
Himachal Pradesh,Shimla,"9,51,792",825,"9,52,617"
Himachal Pradesh,Sirmaur,"4,00,934",28,"4,00,962"
Himachal Pradesh,Solan,"3,82,362",278,"3,82,640"
Himachal Pradesh,Una,"61,828",0,"61,828"
Himachal Pradesh,Total,"56,32,270","4,832","56,37,102"
